distance_m,easting_m,northing_m,elevation_m_egm2008,dem_valid
7110.0,339157.68838994176,3123017.675928291,1592.164306640625,True
7140.0,339153.135371018,3122988.0266839983,1596.2420654296875,True
7170.0,339143.17591543845,3122959.9943839777,1592.2408447265625,True
7200.0,339125.3039614583,3122935.982160278,1602.2952880859375,True
7230.0,339109.52267118974,3122910.4925447055,1592.365234375,True
7260.0,339090.2012595744,3122887.6804188685,1603.822998046875,True
7290.0,339069.8253022872,3122865.6617821115,1604.777587890625,True
7320.0,339049.7019028446,3122843.4121616906,1586.546875,True
7350.0,339029.7351337039,3122821.0220906604,1602.5401611328125,True
7380.0,339003.2427060017,3122808.144507024,1580.1533203125,True
7410.0,338974.6500050927,3122799.783691332,1583.013427734375,True
7440.0,338948.35502428433,3122785.389045118,1573.627685546875,True
7470.0,338933.7585946503,3122759.6638174574,1571.3216552734375,True
7500.0,338921.85079493857,3122732.1313369144,1577.82080078125,True
7530.0,338905.8412525133,3122706.987597765,1579.3037109375,True
7560.0,338888.0027953222,3122682.868167932,1592.2388916015625,True
7590.0,338868.76114961575,3122659.9885851466,1577.1910400390625,True
7620.0,338847.44496735674,3122638.884658325,1584.04736328125,True
7650.0,338827.37908999424,3122616.5992927053,1618.1383056640625,True
7680.0,338808.7561690685,3122593.0915857274,1611.0205078125,True
7710.0,338791.92163279734,3122568.260186481,1611.0205078125,True
7740.0,338770.8833860937,3122546.9595051543,1603.186279296875,True
7770.0,338748.7374664726,3122526.7451562337,1585.5819091796875,True
7800.0,338725.81124880916,3122507.397152053,1576.5811767578125,True
7830.0,338705.0632912055,3122486.0490028453,1574.5599365234375,True
7860.0,338685.7362273944,3122463.174463319,1570.86083984375,True
7890.0,338665.6589112426,3122440.9317779876,1570.876220703125,True
7920.0,338648.42320998234,3122416.3810506933,1570.2861328125,True
7950.0,338633.4477825229,3122390.459244069,1570.1083984375,True
7980.0,338622.1444219823,3122362.670232041,1564.51318359375,True
8010.0,338609.61569509626,3122335.5356442514,1566.146728515625,True
8040.0,338593.4184710488,3122310.2935850006,1563.2764892578125,True
8070.0,338577.5863435218,3122284.8690182115,1559.218994140625,True
8100.0,338558.74976135127,3122261.5347178387,1562.208740234375,True
8130.0,338542.8322202447,3122236.3211467764,1558.4267578125,True
8160.0,338532.6484213397,3122208.509112059,1558.4267578125,True
8190.0,338531.5800264099,3122178.561232716,1559.483154296875,True
8220.0,338533.9124046508,3122148.67316318,1559.578125,True
8250.0,338536.12141189154,3122118.7607489713,1558.6611328125,True
8280.0,338538.30376508756,3122088.8545083245,1556.955810546875,True
8310.0,338543.49022806226,3122059.3062325404,1555.1878662109375,True
8340.0,338548.4051921796,3122029.7121505253,1553.97021484375,True
8370.0,338552.1435298718,3121999.9940186227,1566.7166748046875,True
8400.0,338553.204029945,3121970.0127688223,1565.264404296875,True
8430.0,338552.5961709445,3121940.028787171,1565.0469970703125,True
8460.0,338550.1060825083,3121910.1890004915,1566.1939697265625,True
8490.0,338545.4190469851,3121880.5574008385,1552.037841796875,True
8520.0,338538.7032579451,3121851.333839459,1552.7664794921875,True
8550.0,338531.5697936289,3121822.194284094,1554.591796875,True
8580.0,338524.0359602433,3121793.165701158,1556.5574951171875,True
8610.0,338515.1504926009,3121764.51175789,1547.8087158203125,True
8640.0,338505.6474264112,3121736.0617407546,1548.3265380859375,True
8670.0,338494.8259847049,3121708.0881426074,1551.27734375,True
8700.0,338486.03307076165,3121679.4322082843,1545.589599609375,True
8730.0,338481.7651460476,3121649.7914493196,1544.1051025390625,True
8760.0,338484.1636382803,3121619.932693726,1543.177490234375,True
8790.0,338488.21593785245,3121590.2078351923,1543.1768798828125,True
8820.0,338489.8793416099,3121560.3441789686,1556.2520751953125,True
8850.0,338484.4842595064,3121530.960571568,1542.4354248046875,True
8880.0,338481.64134879183,3121501.102323655,1541.4066162109375,True
8910.0,338482.22399522475,3121471.212340442,1540.9410400390625,True
8940.0,338485.83993766224,3121441.4310550387,1540.2978515625,True
8970.0,338492.9490634731,3121412.310311132,1549.8253173828125,True
9000.0,338495.0128788629,3121382.7849864727,1547.9443359375,True
9030.0,338496.1782727331,3121353.1078258837,1544.3453369140625,True
9060.0,338502.47599632834,3121323.776295451,1540.06298828125,True
9090.0,338509.38548487937,3121294.5846044105,1536.7353515625,True
9120.0,338520.68758137285,3121266.802381627,1542.206298828125,True
9150.0,338530.5750071667,3121238.5415651556,1539.489501953125,True
9180.0,338538.33231054083,3121209.5618438944,1537.928955078125,True
9210.0,338542.7611517797,3121179.921575547,1537.3743896484375,True
