line,chainage_km,thalweg_z,unosat_affected_cells,unosat_affected_trimline_m,unosat_affected_trimline_p25_m,unosat_affected_trimline_p75_m,unosat_affected_width_m,unosat_floodextent_cells,unosat_floodextent_trimline_m,unosat_floodextent_trimline_p25_m,unosat_floodextent_trimline_p75_m,unosat_floodextent_width_m,planet_disturbed_p50_cells,planet_disturbed_p50_trimline_m,planet_disturbed_p50_trimline_p25_m,planet_disturbed_p50_trimline_p75_m,planet_disturbed_p50_width_m
route,43.25,627.8441162109375,163,37.2967529296875,29.8115234375,45.75811767578125,293.4,163,37.2967529296875,29.8115234375,45.75811767578125,293.4,0,,,,0.0
route,43.75,620.4027099609375,152,33.66961669921875,28.0048828125,38.24859619140625,273.6,152,33.66961669921875,28.0048828125,38.24859619140625,273.6,0,,,,0.0
route,44.25,612.71044921875,254,39.199462890625,21.0322265625,53.3685302734375,457.2,254,39.199462890625,21.0322265625,53.3685302734375,457.2,0,,,,0.0
route,44.75,605.512939453125,144,32.12603759765625,27.4678955078125,39.079345703125,259.2,144,32.12603759765625,27.4678955078125,39.079345703125,259.2,0,,,,0.0
route,45.25,600.8278198242188,283,22.2843017578125,19.41107177734375,28.28851318359375,509.4,283,22.2843017578125,19.41107177734375,28.28851318359375,509.4,0,,,,0.0
route,45.75,595.2044067382812,215,42.10723876953125,31.43865966796875,48.32733154296875,387.0,215,41.9676513671875,28.73541259765625,48.16070556640625,387.0,0,,,,0.0
route,46.25,587.3078002929688,188,30.57525634765625,27.49517822265625,34.93463134765625,338.4,186,29.02655029296875,26.75933837890625,34.30645751953125,334.8,0,,,,0.0
route,46.75,583.422607421875,188,25.762939453125,20.76055908203125,35.0316162109375,338.4,188,25.762939453125,20.76055908203125,35.0316162109375,338.4,0,,,,0.0
route,47.25,574.01220703125,234,30.0478515625,27.751220703125,31.63055419921875,421.2,233,29.14776611328125,26.80908203125,31.49835205078125,419.4,0,,,,0.0
route,47.75,568.9781494140625,158,30.987060546875,20.900146484375,35.4283447265625,284.4,157,30.931396484375,20.900146484375,34.79718017578125,282.6,0,,,,0.0
route,48.25,563.9838256835938,176,46.6163330078125,24.68310546875,60.28643798828125,316.8,175,46.338134765625,24.68310546875,57.86077880859375,315.0,0,,,,0.0
route,48.75,559.2513427734375,126,27.068603515625,19.36553955078125,32.4871826171875,226.8,126,27.068603515625,19.36553955078125,32.4871826171875,226.8,0,,,,0.0
route,49.25,556.7277221679688,147,27.30535888671875,22.5728759765625,31.66131591796875,264.6,147,27.30535888671875,22.5728759765625,31.66131591796875,264.6,0,,,,0.0
route,49.75,552.3974609375,141,25.0462646484375,16.9959716796875,26.190673828125,253.8,141,25.0462646484375,16.9959716796875,26.190673828125,253.8,0,,,,0.0
route,50.25,544.8118896484375,172,27.010986328125,20.84222412109375,29.2174072265625,309.6,172,27.010986328125,20.84222412109375,29.2174072265625,309.6,0,,,,0.0
route,50.75,542.7884521484375,96,13.861572265625,11.616943359375,17.2906494140625,172.8,96,13.861572265625,11.616943359375,17.2906494140625,172.8,0,,,,0.0
route,51.25,540.4727172851562,140,14.80816650390625,11.89971923828125,32.88427734375,252.0,140,14.80816650390625,11.89971923828125,32.88427734375,252.0,0,,,,0.0
route,51.75,531.5372314453125,141,22.59710693359375,21.1431884765625,23.7952880859375,253.8,141,22.59710693359375,21.1431884765625,23.7952880859375,253.8,0,,,,0.0
route,52.25,524.9314575195312,179,27.43328857421875,24.85784912109375,29.0487060546875,322.2,179,27.43328857421875,24.85784912109375,29.0487060546875,322.2,0,,,,0.0
route,52.75,519.01611328125,131,26.519287109375,19.297119140625,32.73712158203125,235.8,131,26.519287109375,19.297119140625,32.73712158203125,235.8,0,,,,0.0
route,53.25,518.0076904296875,138,47.6048583984375,29.61456298828125,54.67230224609375,248.4,138,47.6048583984375,29.61456298828125,54.67230224609375,248.4,0,,,,0.0
route,53.75,513.6322021484375,171,40.90606689453125,34.43463134765625,51.57293701171875,307.8,171,40.90606689453125,34.43463134765625,51.57293701171875,307.8,0,,,,0.0
